Journal Name,JIF 2024
BULLETIN OF THE AMERICAN MUSEUM OF NATURAL HISTORY,3.4
BMC MEDICAL RESEARCH METHODOLOGY,3.4
ENTREPRENEURIAL BUSINESS AND ECONOMICS REVIEW,3.4
DERMATOLOGIC THERAPY,3.4
HEALTH AND QUALITY OF LIFE OUTCOMES,3.4
INTERNATIONAL JOURNAL FOR PARASITOLOGY DRUGS AND DRUG RESISTANCE,3.4
ACTA ASTRONAUTICA,3.4
RESEARCH IN TRANSPORTATION ECONOMICS,3.4
ICES JOURNAL OF MARINE SCIENCE,3.4
JOURNAL OF INTELLIGENCE,3.4
SLEEP HEALTH,3.4
KIDNEY MEDICINE,3.4
PLOS NEGLECTED TROPICAL DISEASES,3.4
STRATEGY SCIENCE,3.4
SLEEP MEDICINE,3.4
EUROPEAN JOURNAL OF WORK AND ORGANIZATIONAL PSYCHOLOGY,3.4
HEALTH INFORMATION SCIENCE AND SYSTEMS,3.4
EUROPEAN JOURNAL OF PAIN,3.4
INTERNATIONAL JOURNAL OF SUSTAINABILITY IN HIGHER EDUCATION,3.4
JOURNAL OF CLINICAL VIROLOGY,3.4
JOURNAL OF ORGANIZATIONAL AND END USER COMPUTING,3.4
ACCOUNTING AUDITING and ACCOUNTABILITY JOURNAL,3.4
JOURNAL OF ECONOMICS AND BUSINESS,3.4
BMC COMPLEMENTARY MEDICINE AND THERAPIES,3.4
EUROPEAN EATING DISORDERS REVIEW,3.4
FRONTIERS IN PUBLIC HEALTH,3.4
JOURNAL OF GEOPHYSICAL RESEARCH OCEANS,3.4
JOURNAL OF RHEUMATOLOGY,3.4
NEUROPATHOLOGY AND APPLIED NEUROBIOLOGY,3.4
TOXICOLOGY AND APPLIED PHARMACOLOGY,3.4
WOUND REPAIR AND REGENERATION,3.4
FRONTIERS IN PHYSIOLOGY,3.4
JOURNAL OF ASIAN ECONOMICS,3.4
MOLECULAR AND CELLULAR PEDIATRICS,3.4
AGGRESSION AND VIOLENT BEHAVIOR,3.4
JOURNAL OF PHYCOLOGY,3.4
VACCINES,3.4
AGRONOMY BASEL,3.4
REPRODUCTIVE HEALTH,3.4
CURRENT HEART FAILURE REPORTS,3.4
DIABETES and METABOLIC SYNDROME CLINICAL RESEARCH and REVIEWS,3.4
SAUDI PHARMACEUTICAL JOURNAL,3.4
EMOTION REVIEW,3.4
GLOBAL ECOLOGY AND CONSERVATION,3.4
HEPATOLOGY RESEARCH,3.4
CONFLICT AND HEALTH,3.4
JOURNAL OF BREATH RESEARCH,3.4
APPLIED GEOCHEMISTRY,3.4
GEOSTANDARDS AND GEOANALYTICAL RESEARCH,3.4
PARKINSONISM and RELATED DISORDERS,3.4
BMJ OPEN RESPIRATORY RESEARCH,3.4
ARCHIVES OF MEDICAL RESEARCH,3.4
CANCER EPIDEMIOLOGY BIOMARKERS and PREVENTION,3.4
DRUG HEALTHCARE AND PATIENT SAFETY,3.4
ENVIRONMENTAL and RESOURCE ECONOMICS,3.4
INDIAN JOURNAL OF DERMATOLOGY VENEREOLOGY and LEPROLOGY,3.4
MEASUREMENT SCIENCE AND TECHNOLOGY,3.4
ADVANCES IN OPHTHALMOLOGY PRACTICE AND RESEARCH,3.4
CRYSTAL GROWTH and DESIGN,3.4
DISPLAYS,3.4
JOURNAL OF NEUROMUSCULAR DISEASES,3.4
TICKS AND TICK BORNE DISEASES,3.4
ACS CHEMICAL HEALTH and SAFETY,3.4
INFORMATION SYSTEMS,3.4
JAMIA OPEN,3.4
BMC BIOTECHNOLOGY,3.4
COMPETITION and CHANGE,3.4
JOURNAL OF ENGINEERING DESIGN,3.4
NATURE AND SCIENCE OF SLEEP,3.4
PHYSICS IN MEDICINE AND BIOLOGY,3.4
AGING CLINICAL AND EXPERIMENTAL RESEARCH,3.4
ATMOSPHERIC ENVIRONMENT X,3.4
ECOLOGICAL COMPLEXITY,3.4
JOURNAL OF GEOPHYSICAL RESEARCH ATMOSPHERES,3.4
CONNECTION SCIENCE,3.4
PITUITARY,3.4
CARDIOVASCULAR THERAPEUTICS,3.4
CLINICAL AUTONOMIC RESEARCH,3.4
APPLIED ERGONOMICS,3.4
CHEMMEDCHEM,3.4
INFRARED PHYSICS and TECHNOLOGY,3.4
INNOVATION and MANAGEMENT REVIEW,3.4
BIOCHEMISTRY RESEARCH INTERNATIONAL,3.4
GLOBAL MENTAL HEALTH,3.4
PUBLIC HEALTH RESEARCH and PRACTICE,3.4
WORLD WIDE WEB INTERNET AND WEB INFORMATION SYSTEMS,3.4
JOURNAL OF FAMILY BUSINESS MANAGEMENT,3.4
MOLECULAR PLANT MICROBE INTERACTIONS,3.4
PHYTOCHEMISTRY,3.4
BMC CANCER,3.4
JOURNAL OF HEPATOCELLULAR CARCINOMA,3.4
LIFE METABOLISM,3.4
BRITISH JOURNAL OF RADIOLOGY,3.4
ACCOUNTING FORUM,3.4
ACTA BIOCHIMICA ET BIOPHYSICA SINICA,3.4
AEOLIAN RESEARCH,3.4
BIOLOGICS TARGETS and THERAPY,3.4
ECOSYSTEM HEALTH AND SUSTAINABILITY,3.4
FOOD AND BIOPRODUCTS PROCESSING,3.4
INTERNATIONAL JOURNAL OF STRUCTURAL STABILITY AND DYNAMICS,3.4
JOURNAL OF APPLIED AND COMPUTATIONAL MECHANICS,3.4
JOURNAL OF THE AMERICAN PLANNING ASSOCIATION,3.4
PSYCHIATRIC CLINICS OF NORTH AMERICA,3.4
RESEARCH AND PRACTICE IN THROMBOSIS AND HAEMOSTASIS,3.4
ASIA PACIFIC PSYCHIATRY,3.4
EVOLUTIONARY COMPUTATION,3.4
THROMBOSIS RESEARCH,3.4
GEOBIOLOGY,3.4
JOURNAL OF GASTROENTEROLOGY AND HEPATOLOGY,3.4
ANNALS OF MICROBIOLOGY,3.4
BIOPHYSICS REVIEWS,3.4
CLIMATE AND DEVELOPMENT,3.4
JOURNAL OF DIABETES RESEARCH,3.4
JOURNAL OF IMMUNOLOGY,3.4
LIFE BASEL,3.4
BOSNIAN JOURNAL OF BASIC MEDICAL SCIENCES,3.4
DIABETIC MEDICINE,3.4
PATHOLOGY INTERNATIONAL,3.4
EGYPTIAN JOURNAL OF SOIL SCIENCE,3.4
INTERNATIONAL JOURNAL OF SOFTWARE SCIENCE AND COMPUTATIONAL INTELLIGENCE IJSSCI,3.4
PHARMACOTHERAPY,3.4
THERAPEUTIC ADVANCES IN DRUG SAFETY,3.4
EUROPEAN JOURNAL OF MEDICAL RESEARCH,3.4
HARVARD REVIEW OF PSYCHIATRY,3.4
JOURNAL OF NEURORESTORATOLOGY,3.4
RESEARCH IN MICROBIOLOGY,3.4
TRANSPORTMETRICA B TRANSPORT DYNAMICS,3.4
IEEE JOURNAL OF RADIO FREQUENCY IDENTIFICATION,3.4
JOURNAL OF NEUROSCIENCE RESEARCH,3.4
THERAPEUTIC ADVANCES IN GASTROENTEROLOGY,3.4
EXPERT REVIEW OF NEUROTHERAPEUTICS,3.4
IEEE MICROWAVE AND WIRELESS TECHNOLOGY LETTERS,3.4
SEXUAL MEDICINE REVIEWS,3.4
BRQ BUSINESS RESEARCH QUARTERLY,3.4
CURRENT OPINION IN CRITICAL CARE,3.4
JOURNAL OF FOOD SCIENCE,3.4
REPRODUCTION AND FERTILITY,3.4
THERAPEUTIC ADVANCES IN INFECTIOUS DISEASE,3.4
NANOTOXICOLOGY,3.4
NEURODEGENERATIVE DISEASE MANAGEMENT,3.4
WORLD JOURNAL OF PSYCHIATRY,3.4
FUTURE MEDICINAL CHEMISTRY,3.4
INTERNATIONAL DAIRY JOURNAL,3.4
INTERNATIONAL JOURNAL OF CONSTRUCTION MANAGEMENT,3.4
BREAST CANCER TARGETS AND THERAPY,3.4
COMPUTER SPEECH AND LANGUAGE,3.4
CURRENT ONCOLOGY,3.4
MINDS AND MACHINES,3.4
INTERNATIONAL REVIEW OF PSYCHIATRY,3.4
MACROMOLECULAR RESEARCH,3.4
INTERNATIONAL JOURNAL OF GENDER AND ENTREPRENEURSHIP,3.4
PHYSICAL REVIEW MATERIALS,3.4
POLYMERS FOR ADVANCED TECHNOLOGIES,3.4
RNA BIOLOGY,3.4
ANIMAL MODELS AND EXPERIMENTAL MEDICINE,3.4
BREATHE,3.4
COGNITION TECHNOLOGY and WORK,3.4
JOURNAL OF ELECTRONIC COMMERCE RESEARCH,3.4
JOURNAL OF HUMAN HYPERTENSION,3.4
BUILDING RESEARCH AND INFORMATION,3.4
JOURNAL OF INTELLIGENT INFORMATION SYSTEMS,3.4
OXFORD OPEN ENERGY,3.4
PRESSE MEDICALE,3.4
FOOD and NUTRITION RESEARCH,3.4
JOURNAL OF INFORMATION DISPLAY,3.4
ENVIRONMENTAL SYSTEMS RESEARCH,3.4
JOURNAL OF THE INDIAN CHEMICAL SOCIETY,3.4
INTERNATIONAL JOURNAL OF ENVIRONMENTAL SCIENCE AND TECHNOLOGY,3.4
CELL CYCLE,3.4
EXPERT OPINION ON DRUG METABOLISM and TOXICOLOGY,3.4
EARTH,3.4
JOURNAL OF BIOMEDICAL MATERIALS RESEARCH PART B APPLIED BIOMATERIALS,3.4
PROTEIN ENGINEERING DESIGN and SELECTION,3.4
REVIEW OF EDUCATION,3.4
ENERGY SCIENCE and ENGINEERING,3.4
JOURNAL OF THERMOPLASTIC COMPOSITE MATERIALS,3.4
SEED BIOLOGY,3.4
CHEMENGINEERING,3.4
PHYSICS USPEKHI,3.4
HAGUE JOURNAL ON THE RULE OF LAW,3.3
METAPHOR AND SYMBOL,3.3
PUBLIC UNDERSTANDING OF SCIENCE,3.3
JOURNAL OF CULTURAL HERITAGE,3.3
TRANSNATIONAL ENVIRONMENTAL LAW,3.3
WORLD BANK RESEARCH OBSERVER,3.3
HUMAN COMMUNICATION RESEARCH,3.3
JOURNAL OF QUANTITATIVE CRIMINOLOGY,3.3
INFORMATION COMMUNICATION and SOCIETY,3.3
JOURNAL OF SCIENTIFIC COMPUTING,3.3
POLITICAL BEHAVIOR,3.3
REVISTA DE PSICODIDACTICA,3.3
BRITISH JOURNAL OF SOCIOLOGY,3.3
AMERICAN JOURNAL OF AGRICULTURAL ECONOMICS,3.3
CHILD MALTREATMENT,3.3
MEDIA CULTURE and SOCIETY,3.3
PHYSICAL THERAPY,3.3
EDUCATIONAL MANAGEMENT ADMINISTRATION and LEADERSHIP,3.3
CANADIAN JOURNAL OF ANESTHESIA JOURNAL CANADIEN D ANESTHESIE,3.3
JCMS JOURNAL OF COMMON MARKET STUDIES,3.3
DISABILITY AND HEALTH JOURNAL,3.3
EUROPEAN PHYSICAL EDUCATION REVIEW,3.3
JOURNAL OF HAPPINESS STUDIES,3.3
JOURNAL OF APPLIED PHYSIOLOGY,3.3
JOURNAL OF HEAD TRAUMA REHABILITATION,3.3
JOURNAL OF VESTIBULAR RESEARCH EQUILIBRIUM and ORIENTATION,3.3
SOCIAL PSYCHOLOGICAL AND PERSONALITY SCIENCE,3.3
FRACTAL AND FRACTIONAL,3.3
DEPRESSION AND ANXIETY,3.3
HARVARD EDUCATIONAL REVIEW,3.3
INNOEDUCA INTERNATIONAL JOURNAL OF TECHNOLOGY AND EDUCATIONAL INNOVATION,3.3
PSYCHOLOGICAL ASSESSMENT,3.3
ARTHRITIS CARE and RESEARCH,3.3
HEALTH ECONOMICS POLICY AND LAW,3.3
MOTIVATION SCIENCE,3.3
BRITISH JOURNAL OF PSYCHOLOGY,3.3
PERMAFROST AND PERIGLACIAL PROCESSES,3.3
JOURNAL OF MINIMALLY INVASIVE GYNECOLOGY,3.3
INTERNATIONAL JOURNAL OF MENTAL HEALTH NURSING,3.3
ADVANCES IN HEALTH SCIENCES EDUCATION,3.3
IMPLEMENTATION SCIENCE COMMUNICATIONS,3.3
ANNALS OF BEHAVIORAL MEDICINE,3.3
JOURNAL OF THE EUROPEAN ECONOMIC ASSOCIATION,3.3
BEHAVIORAL AND BRAIN FUNCTIONS,3.3
PALAEONTOGRAPHICA ABTEILUNG B PALAEOPHYTOLOGIE PALAEOBOTANY PALAEOPHYTOLOGY,3.3
RISK ANALYSIS,3.3
NEW LEFT REVIEW,3.3
ECONOMIC SYSTEMS,3.3
JOURNAL OF ISAKOS JOINT DISORDERS and ORTHOPAEDIC SPORTS MEDICINE,3.3
PEDIATRIC DRUGS,3.3
AMERICAN JOURNAL OF PHYSIOLOGY GASTROINTESTINAL AND LIVER PHYSIOLOGY,3.3
PLASMA SOURCES SCIENCE and TECHNOLOGY,3.3
PSYCHOLOGY OF SPORT AND EXERCISE,3.3
JOURNAL OF ACADEMIC ETHICS,3.3
HUMAN BRAIN MAPPING,3.3
ANIMAL REPRODUCTION SCIENCE,3.3
JOURNAL OF NEURORADIOLOGY,3.3
JOURNAL OF SEXUAL MEDICINE,3.3
OPTICS LETTERS,3.3
OPTICS EXPRESS,3.3
EDUCATIONAL RESEARCH AND EVALUATION,3.3
EUROPEAN JOURNAL OF RADIOLOGY,3.3
JOURNAL OF PSYCHIATRY and NEUROSCIENCE,3.3
OCEAN SCIENCE,3.3
ADOLESCENT HEALTH MEDICINE AND THERAPEUTICS,3.3
APPLIED HEALTH ECONOMICS AND HEALTH POLICY,3.3
CORTEX,3.3
DALTON TRANSACTIONS,3.3
DIGITAL HEALTH,3.3
GROUP and ORGANIZATION MANAGEMENT,3.3
ASIA PACIFIC JOURNAL OF TOURISM RESEARCH,3.3
PAIN AND THERAPY,3.3
REPRODUCTIVE MEDICINE AND BIOLOGY,3.3
JOURNAL OF GEOCHEMICAL EXPLORATION,3.3
SCHOOL LEADERSHIP and MANAGEMENT,3.3
EJNMMI RADIOPHARMACY AND CHEMISTRY,3.3
PHYSICS and IMAGING IN RADIATION ONCOLOGY,3.3
EUROPEAN JOURNAL OF SOIL BIOLOGY,3.3
RADIATION PHYSICS AND CHEMISTRY,3.3
ANNALS OF PEDIATRIC ENDOCRINOLOGY and METABOLISM,3.3
DISEASE MODELS and MECHANISMS,3.3
ECOSYSTEMS,3.3
HEALTH CARE SCIENCE,3.3
JOURNAL OF PSYCHOSOMATIC RESEARCH,3.3
HEALTH REPORTS,3.3
PSYCHOPHARMACOLOGY,3.3
DIAGNOSTICS,3.3
PHYSIOLOGICAL AND MOLECULAR PLANT PATHOLOGY,3.3
HEALTH ECONOMICS REVIEW,3.3
INTERNATIONAL JOURNAL OF GEOMECHANICS,3.3
QUATERNARY SCIENCE REVIEWS,3.3
ANNALS OF GIS,3.3
BMC BIOINFORMATICS,3.3
CLINICAL AND EXPERIMENTAL RHEUMATOLOGY,3.3
JOURNAL OF TRANSPORT and HEALTH,3.3
CURRENT FUNGAL INFECTION REPORTS,3.3
HUMAN FACTORS,3.3
ATMOSPHERIC MEASUREMENT TECHNIQUES,3.3
AUSTRALIAN ACCOUNTING REVIEW,3.3
GEOMORPHOLOGY,3.3
JOURNAL OF NEUROGASTROENTEROLOGY AND MOTILITY,3.3
JOURNAL OF LAND USE SCIENCE,3.3
PHYSIOLOGY AND MOLECULAR BIOLOGY OF PLANTS,3.3
SCIENCE TECHNOLOGY and HUMAN VALUES,3.3
SOILS AND FOUNDATIONS,3.3
EXPERIMENTAL THERMAL AND FLUID SCIENCE,3.3
GEODERMA REGIONAL,3.3
INTERNATIONAL JOURNAL OF PAVEMENT ENGINEERING,3.3
JOURNAL OF FRAILTY and AGING,3.3
JOURNAL OF INTERNATIONAL MONEY AND FINANCE,3.3
ANALYST,3.3
JAC ANTIMICROBIAL RESISTANCE,3.3
NEUROTOXICITY RESEARCH,3.3
JOURNAL OF ORGANIZATIONAL EFFECTIVENESS PEOPLE AND PERFORMANCE,3.3
JOURNAL OF PLANT INTERACTIONS,3.3
ARCHIVES OF MEDICAL SCIENCE,3.3
CLINICAL PROTEOMICS,3.3
NFS JOURNAL,3.3
STEM CELLS INTERNATIONAL,3.3
AUTONOMIC NEUROSCIENCE BASIC and CLINICAL,3.3
BASIC and CLINICAL PHARMACOLOGY and TOXICOLOGY,3.3
CLINICAL LUNG CANCER,3.3
IATSS RESEARCH,3.3
JOURNAL OF CLINICAL AND TRANSLATIONAL ENDOCRINOLOGY,3.3
PROCEEDINGS OF THE VLDB ENDOWMENT,3.3
THEORETICAL AND APPLIED MECHANICS LETTERS,3.3
CURRENT PROBLEMS IN CARDIOLOGY,3.3
IEEE OPEN JOURNAL OF INDUSTRY APPLICATIONS,3.3
JOURNAL OF INDUSTRIAL INTEGRATION AND MANAGEMENT INNOVATION AND ENTREPRENEURSHIP,3.3
METABOLOMICS,3.3
BMC ENDOCRINE DISORDERS,3.3
CANCER RESEARCH COMMUNICATIONS,3.3
CURRENT GENE THERAPY,3.3
GEOSYNTHETICS INTERNATIONAL,3.3
JOURNAL OF TRACE ELEMENTS IN MEDICINE AND BIOLOGY,3.3
TRANSPORTATION,3.3
ENDOCRINOLOGY,3.3
IEEE MICROWAVE AND WIRELESS COMPONENTS LETTERS,3.3
CLINICAL TOXICOLOGY,3.3
FERMENTATION BASEL,3.3
COMPUTERS AND CONCRETE,3.3
INTERNATIONAL JOURNAL OF ENERGY SECTOR MANAGEMENT,3.3
JOURNAL OF SOUTHERN HEMISPHERE EARTH SYSTEMS SCIENCE,3.3
REQUIREMENTS ENGINEERING,3.3
BIOCHIMICA ET BIOPHYSICA ACTA MOLECULAR AND CELL BIOLOGY OF LIPIDS,3.3
CASE STUDIES ON TRANSPORT POLICY,3.3
IEEE MULTIMEDIA,3.3
INTERNATIONAL JOURNAL OF SYSTEMS SCIENCE OPERATIONS and LOGISTICS,3.3
JOURNAL OF FASHION MARKETING AND MANAGEMENT,3.3
SOLID STATE SCIENCES,3.3
APPLIED BIOCHEMISTRY AND BIOTECHNOLOGY,3.3
ARRHYTHMIA and ELECTROPHYSIOLOGY REVIEW,3.3
GEODESY AND GEODYNAMICS,3.3
ITALIAN JOURNAL OF FOOD SCIENCE,3.3
PATHOGENS,3.3
ROBOTICS,3.3
SCIENTIFIC AFRICAN,3.3
TRANSPORTATION LETTERS THE INTERNATIONAL JOURNAL OF TRANSPORTATION RESEARCH,3.3
JOURNAL OF COMPUTING AND INFORMATION SCIENCE IN ENGINEERING,3.3
VASCULAR MEDICINE,3.3
FRONTIERS IN ONCOLOGY,3.3
JOURNAL OF FOOD MEASUREMENT AND CHARACTERIZATION,3.3
LUNG CANCER TARGETS AND THERAPY,3.3
PATTERN RECOGNITION LETTERS,3.3
EUROPEAN JOURNAL OF CLINICAL NUTRITION,3.3
FIRE SAFETY JOURNAL,3.3
SUSTAINABILITY,3.3
WIND ENERGY,3.3
CONTEMPORARY PHYSICS,3.3
STRUCTURAL CONCRETE,3.3
EFSA JOURNAL,3.3
TRIBOLOGY LETTERS,3.3
WATER REUSE,3.3
ANNALS OF GASTROENTEROLOGICAL SURGERY,3.3
CURRENT CARDIOLOGY REPORTS,3.3
EARTHQUAKE ENGINEERING AND ENGINEERING VIBRATION,3.3
GLYCOBIOLOGY,3.3
INTERNATIONAL JOURNAL OF FOOD SCIENCES AND NUTRITION,3.3
PACIFIC ASIA JOURNAL OF THE ASSOCIATION FOR INFORMATION SYSTEMS,3.3
JOURNAL OF MANUFACTURING AND MATERIALS PROCESSING,3.3
JOURNAL OF THERMAL SPRAY TECHNOLOGY,3.3
JOURNAL OF INTENSIVE MEDICINE,3.3
CHEMICAL BIOLOGY and DRUG DESIGN,3.3
COMPUTATIONAL MATERIALS SCIENCE,3.3
CONSTRUCTION MANAGEMENT AND ECONOMICS,3.3
E POLYMERS,3.3
JOURNAL OF CONSUMER MARKETING,3.3
REVIEW OF INTERNATIONAL BUSINESS AND STRATEGY,3.3
CLINICAL MEDICINE INSIGHTS CARDIOLOGY,3.3
GENEVA PAPERS ON RISK AND INSURANCE ISSUES AND PRACTICE,3.3
JOURNAL OF IMAGING,3.3
JOURNAL OF THE ELECTROCHEMICAL SOCIETY,3.3
CORPORATE COMMUNICATIONS,3.3
PFG JOURNAL OF PHOTOGRAMMETRY REMOTE SENSING AND GEOINFORMATION SCIENCE,3.3
CURRENT TOPICS IN MEDICINAL CHEMISTRY,3.3
ADVANCED ENGINEERING MATERIALS,3.3
HEALTHCARE TECHNOLOGY LETTERS,3.3
BMB REPORTS,3.3
JOURNAL OF FOOD SCIENCE AND TECHNOLOGY MYSORE,3.3
SILICON,3.3
SOLID STATE IONICS,3.3
BIOMEDICAL MICRODEVICES,3.3
MINI REVIEWS IN MEDICINAL CHEMISTRY,3.3
CHEMISTRY AN ASIAN JOURNAL,3.3
CURRENT HEMATOLOGIC MALIGNANCY REPORTS,3.3
NANOMATERIALS AND NANOTECHNOLOGY,3.3
EMERGING TOPICS IN LIFE SCIENCES,3.3
FUNCTIONAL COMPOSITES AND STRUCTURES,3.3
NANO FUTURES,3.3
ACTA MISSIOLOGICA,3.2
COMPUTER LAW and SECURITY REVIEW,3.2
JOURNAL OF THE AMERICAN MATHEMATICAL SOCIETY,3.2
INTERNET POLICY REVIEW,3.2
LAW AND HUMAN BEHAVIOR,3.2
ACTIVE LEARNING IN HIGHER EDUCATION,3.2
COMMUNICATION RESEARCH,3.2
TWMS JOURNAL OF PURE AND APPLIED MATHEMATICS,3.2
MINERVA,3.2
EUROPEAN JOURNAL OF HIGHER EDUCATION,3.2
RESULTS IN CONTROL AND OPTIMIZATION,3.2
EDUCATION AND TRAINING,3.2
APPLIED AND COMPUTATIONAL HARMONIC ANALYSIS,3.2
STUDIES IN HIGHER EDUCATION,3.2
GOVERNMENT AND OPPOSITION,3.2
JOURNALS OF GERONTOLOGY SERIES B PSYCHOLOGICAL SCIENCES AND SOCIAL SCIENCES,3.2
DERMATITIS,3.2
ANGLE ORTHODONTIST,3.2
CHEMISTRY EDUCATION RESEARCH AND PRACTICE,3.2
JOURNAL OF CYBERSECURITY,3.2
OPHTHALMOLOGY GLAUCOMA,3.2
ARCHIVES OF DISEASE IN CHILDHOOD,3.2
GERONTOLOGIST,3.2
BMC MEDICAL EDUCATION,3.2
CHAOS,3.2
JOURNAL OF THE WORLD FEDERATION OF ORTHODONTISTS,3.2
ACADEMIC EMERGENCY MEDICINE,3.2
JOURNAL OF CATARACT AND REFRACTIVE SURGERY,3.2
ARCHIVES OF PATHOLOGY and LABORATORY MEDICINE,3.2
CRIME AND JUSTICE A REVIEW OF RESEARCH,3.2
PROGRESS IN NUCLEAR ENERGY,3.2
"TECHNOLOGY, MIND, AND BEHAVIOR",3.2
ACM TRANSACTIONS ON MATHEMATICAL SOFTWARE,3.2
REVIEW OF POLICY RESEARCH,3.2
AMERICAN JOURNAL OF NEPHROLOGY,3.2
COGNITIVE BEHAVIOUR THERAPY,3.2
SOCIAL PSYCHOLOGY OF EDUCATION,3.2
BRAZILIAN JOURNAL OF PHYSICAL THERAPY,3.2
REVIEW OF GENERAL PSYCHOLOGY,3.2
JOURNAL OF PERIODONTAL AND IMPLANT SCIENCE,3.2
JOURNAL OF ADDICTION MEDICINE,3.2
PUBLIC POLICY AND ADMINISTRATION,3.2
INTERNATIONAL JOURNAL FOR PARASITOLOGY,3.2
PATHOLOGY RESEARCH AND PRACTICE,3.2
INTERNATIONAL JOURNAL OF VETERINARY SCIENCE AND MEDICINE,3.2
PALEOCEANOGRAPHY AND PALEOCLIMATOLOGY,3.2
BMJ OPEN SPORT and EXERCISE MEDICINE,3.2
HEALTH PSYCHOLOGY,3.2
ASIAN JOURNAL OF BUSINESS ETHICS,3.2
MINNESOTA LAW REVIEW,3.2
OPHTHALMOLOGY AND THERAPY,3.2
EVOLUTION AND HUMAN BEHAVIOR,3.2
INSECT CONSERVATION AND DIVERSITY,3.2
PSYCHOLOGY RESEARCH AND BEHAVIOR MANAGEMENT,3.2
PREVENTIVE MEDICINE,3.2
DEVELOPMENTAL SCIENCE,3.2
ZAMM ZEITSCHRIFT FUR ANGEWANDTE MATHEMATIK UND MECHANIK,3.2
HEALTH RESEARCH POLICY AND SYSTEMS,3.2
HEALTH SERVICES RESEARCH,3.2
INFORMATION ECONOMICS AND POLICY,3.2
PSYCHIATRIC SERVICES,3.2
SKIN RESEARCH AND TECHNOLOGY,3.2
JOURNAL OF ADOLESCENCE,3.2
ADDICTION SCIENCE and CLINICAL PRACTICE,3.2
ANIMAL CELLS AND SYSTEMS,3.2
COLLABRA PSYCHOLOGY,3.2
EYE,3.2
FORESTRY,3.2
INTERNATIONAL JOURNAL OF ROBUST AND NONLINEAR CONTROL,3.2
JOURNAL OF TELEMEDICINE AND TELECARE,3.2
CLINICAL EPIDEMIOLOGY,3.2
EJNMMI PHYSICS,3.2
JOURNAL OF RENAL NUTRITION,3.2
EMPLOYEE RELATIONS,3.2
JOURNAL OF PSYCHIATRIC RESEARCH,3.2
JOURNAL OF EUROPEAN SOCIAL POLICY,3.2
MEDICAL PHYSICS,3.2
SUBSTANCE ABUSE TREATMENT PREVENTION AND POLICY,3.2
DEVELOPMENT AND CHANGE,3.2
JOURNAL OF APPLIED SPORT PSYCHOLOGY,3.2
QUALITATIVE RESEARCH IN SPORT EXERCISE AND HEALTH,3.2
PUBLIC HEALTH,3.2
HEMATOLOGY AMERICAN SOCIETY OF HEMATOLOGY EDUCATION PROGRAM,3.2
ENVIRONMENT AND PLANNING E NATURE AND SPACE,3.2
HEALTH EXPECTATIONS,3.2
JOURNAL OF ANIMAL SCIENCE AND TECHNOLOGY,3.2
ARCHIVES OF PUBLIC HEALTH,3.2
JOURNAL OF NUCLEAR MATERIALS,3.2
BIOMEDICAL OPTICS EXPRESS,3.2
BMC MEDICAL IMAGING,3.2
EVOLUTIONARY APPLICATIONS,3.2
INTERNATIONAL JOURNAL OF HEALTH GEOGRAPHICS,3.2
JOURNAL OF THE ASSOCIATION OF ENVIRONMENTAL AND RESOURCE ECONOMISTS,3.2
STRUCTURAL EQUATION MODELING A MULTIDISCIPLINARY JOURNAL,3.2
TOURISM ECONOMICS,3.2
WORLD JOURNAL OF EMERGENCY MEDICINE,3.2
ANNALS OF AGRICULTURAL SCIENCES,3.2
COSMETICS,3.2
FRONTIERS IN FORESTS AND GLOBAL CHANGE,3.2
SKIN PHARMACOLOGY AND PHYSIOLOGY,3.2
ENVIRONMENTAL EPIGENETICS,3.2
JOURNAL OF MENTAL HEALTH,3.2
INORGANICA CHIMICA ACTA,3.2
CANCER CYTOPATHOLOGY,3.2
CLIMACTERIC,3.2
CLIMATE OF THE PAST,3.2
JOURNAL OF ECONOMIC POLICY REFORM,3.2
JOURNAL OF GLOBAL ANTIMICROBIAL RESISTANCE,3.2
JOURNAL OF THE PERIPHERAL NERVOUS SYSTEM,3.2
ENVIRONMENTAL TOXICOLOGY,3.2
JOURNAL OF INORGANIC BIOCHEMISTRY,3.2
SEMINARS IN PERINATOLOGY,3.2
ANNALS OF GLOBAL HEALTH,3.2
ECOLOGICAL MODELLING,3.2
INTERNATIONAL JOURNAL OF CARDIOLOGY,3.2
JOURNAL OF ENGINEERING MECHANICS,3.2
MAGNETIC RESONANCE IN MEDICAL SCIENCES,3.2
RADIATION ONCOLOGY,3.2
BULLETIN OF VOLCANOLOGY,3.2
ECOLOGY AND SOCIETY,3.2
FEMS MICROBIOLOGY ECOLOGY,3.2
FRONTIERS IN PSYCHIATRY,3.2
NEUROLOGICAL RESEARCH AND PRACTICE,3.2
SEISMOLOGICAL RESEARCH LETTERS,3.2
GEOPHYSICS,3.2
MARINE ENVIRONMENTAL RESEARCH,3.2
CELL TRANSPLANTATION,3.2
JOURNAL OF PHYSIOLOGICAL SCIENCES,3.2
JOURNAL OF BRONCHOLOGY and INTERVENTIONAL PULMONOLOGY,3.2
PARENTING SCIENCE AND PRACTICE,3.2
PRECAMBRIAN RESEARCH,3.2
SEMINARS IN RADIATION ONCOLOGY,3.2
INTERNATIONAL JOURNAL OF ETHICS AND SYSTEMS,3.2
CYTOTHERAPY,3.2
JOURNAL OF RHEOLOGY,3.2
